eps_S81,eps_Li2S1,rho_TEGDME(e)_cat1,rho_Li+(e)_cat1,rho_TFSI-(e)_cat1,rho_S8(e)_cat1,rho_S8-(e)_cat1,rho_S6-(e)_cat1,rho_S4-(e)_cat1,rho_S2-(e)_cat1,rho_S-(e)_cat1,Phi_dl1,Phi_ed1,np_S81,np_Li2S1,eps_S82,eps_Li2S2,rho_TEGDME(e)_cat2,rho_Li+(e)_cat2,rho_TFSI-(e)_cat2,rho_S8(e)_cat2,rho_S8-(e)_cat2,rho_S6-(e)_cat2,rho_S4-(e)_cat2,rho_S2-(e)_cat2,rho_S-(e)_cat2,Phi_dl2,Phi_ed2,np_S82,np_Li2S2,eps_S83,eps_Li2S3,rho_TEGDME(e)_cat3,rho_Li+(e)_cat3,rho_TFSI-(e)_cat3,rho_S8(e)_cat3,rho_S8-(e)_cat3,rho_S6-(e)_cat3,rho_S4-(e)_cat3,rho_S2-(e)_cat3,rho_S-(e)_cat3,Phi_dl3,Phi_ed3,np_S83,np_Li2S3,eps_S84,eps_Li2S4,rho_TEGDME(e)_cat4,rho_Li+(e)_cat4,rho_TFSI-(e)_cat4,rho_S8(e)_cat4,rho_S8-(e)_cat4,rho_S6-(e)_cat4,rho_S4-(e)_cat4,rho_S2-(e)_cat4,rho_S-(e)_cat4,Phi_dl4,Phi_ed4,np_S84,np_Li2S4,rho_TEGDME(e)_sep1,rho_Li+(e)_sep1,rho_TFSI-(e)_sep1,rho_S8(e)_sep1,rho_S8-(e)_sep1,rho_S6-(e)_sep1,rho_S4-(e)_sep1,rho_S2-(e)_sep1,rho_S-(e)_sep1,Phi_sep1,rho_TEGDME(e)_an1,rho_Li+(e)_an1,rho_TFSI-(e)_an1,rho_S8(e)_an1,rho_S8-(e)_an1,rho_S6-(e)_an1,rho_S4-(e)_an1,rho_S2-(e)_an1,rho_S-(e)_an1,Phi_an_dl1,Phi_an1,Time
0.13999583640782615,0.0001000000082085279,9.973524081473364,0.9983259765501181,0.9972839936445517,0.22126660537832027,0.000249085221560613,0.0002525543356002619,1.9454946360030295e-05,6.224695097088365e-10,1.0930005209868771e-12,2.4937826033514554,2.571516023161854,2205598544304.9604,600000000000000.0,0.13999574682520446,0.00010000000820854107,9.973524081450185,0.9983256318198387,0.9972843380157219,0.2212666053779076,0.000249085393667312,0.00025255451001995015,1.9454959797822678e-05,6.224699383559182e-10,1.093001272416349e-12,2.4937825944795877,2.571518217573707,2205598544304.9604,600000000000000.0,0.1399842373549109,0.0001000000082084819,9.97352408139018,0.9983264823275755,0.9972834883969598,0.22126660537683013,0.0002490849698656798,0.000252554079703507,1.9454926657872665e-05,6.224688810914618e-10,1.0929994187566447e-12,2.493782616367997,2.5715203409582843,2205598544304.9604,600000000000000.0,0.03589008707256183,0.00010000000820850383,9.97352408131709,0.9983266991467633,0.9972832718060649,0.22126660537553106,0.0002490848620336439,0.00025255397000527237,1.9454918212842004e-05,6.224686116467445e-10,1.0929989462770906e-12,2.4937826219479757,2.5715224296132067,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810174235,0.9972838892897109,0.22126660537556542,0.00024908517048371505,0.0002525542827512555,1.9454942304644358e-05,6.224693824744897e-10,1.0930002997813425e-12,0.07774265845751013,9.973524008493749,0.9983214308544216,0.9972885346001388,0.221266605376783,0.0002490874909550882,0.00025255663554079564,1.945512355101461e-05,6.22475181531285e-10,1.093010482403929e-12,-0.07785393071242104,0.0,0.0
0.13999583640783042,0.0001000000082085279,9.973524081473418,0.9983259764013591,0.9972839934957186,0.22126660537801532,0.0002490852217115564,0.0002525543354872568,1.94549463590721e-05,6.224695239763328e-10,1.0930021914779592e-12,2.4937753708257326,2.5715091555206926,2205598544304.9604,600000000000000.0,0.13999574682520732,0.00010000000820854107,9.97352408145022,0.9983256317201687,0.9972843379160024,0.2212666053777033,0.000249085393768446,0.0002525545099442356,1.945495979718068e-05,6.224699479152791e-10,1.093002391661263e-12,2.4937777486221706,2.571512710121495,2205598544304.9604,600000000000000.0,0.1399842373549135,0.0001000000082084819,9.973524081390211,0.9983264822371861,0.9972834883065255,0.22126660537664483,0.00024908496995739696,0.00025255407963484266,1.945492665729045e-05,6.22468889760714e-10,1.093000433784399e-12,2.4937782216574367,2.5715151117250397,2205598544304.9604,600000000000000.0,0.03589008707256222,0.00010000000820850383,9.973524081317093,0.9983266990430745,0.9972832717023244,0.2212666053753445,0.0002490848621388506,0.0002525539699265067,1.945491821217407e-05,6.224686215909632e-10,1.0930001113429118e-12,2.4937769231153597,2.571516467674718,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810174229,0.9972838892897103,0.22126660537556542,0.00024908517048371603,0.00025255428275125437,1.9454942304644355e-05,6.224693824745086e-10,1.0930002997835671e-12,0.07774235762725121,9.973524008493749,0.998321430829184,0.9972885347009948,0.221266605376783,0.0002490874910306587,0.0002525566356174186,1.9455123551998354e-05,6.224751815627603e-10,1.0930104824591968e-12,-0.07785362988437369,0.0,9.121674965519704e-09
0.139995836407838,0.0001000000082085279,9.973524081473512,0.9983259762784564,0.99728399337223,0.22126660537746065,0.000249085222098527,0.0002525543353935622,1.9454946358769216e-05,6.224695500916373e-10,1.0930052343687935e-12,2.49376939005788,2.5715031167128735,2205598544304.9604,600000000000000.0,0.1399957468252133,0.00010000000820854107,9.973524081450295,0.9983256316073456,0.9972843378027714,0.2212666053772692,0.0002490853940586458,0.0002525545098583072,1.9454959796781437e-05,6.224699683358369e-10,1.0930047726632174e-12,2.4937722596814615,2.5715069642969235,2205598544304.9604,600000000000000.0,0.13998423735491908,0.0001000000082084819,9.97352408139028,0.9983264821290783,0.9972834881980449,0.2212666053762393,0.0002490849702264503,0.00025255407955251713,1.9454926656891086e-05,6.224689088351529e-10,1.0930026581116293e-12,2.4937729622263007,2.5715095026201706,2205598544304.9604,600000000000000.0,0.035890087072562964,0.00010000000820850383,9.973524081317102,0.9983266989452558,0.9972832716040914,0.22126660537498202,0.0002490848624208944,0.00025255396985197106,1.945491821188458e-05,6.224686409578014e-10,1.0930023708117144e-12,2.4937715428594154,2.5715107865935614,2205598544304.9604,600000000000000.0,9.973524079717524,0.998326081017422,0.9972838892897095,0.22126660537556542,0.0002490851704837206,0.00025255428275125274,1.9454942304644355e-05,6.224693824745646e-10,1.093000299790106e-12,0.07774205680354228,9.973524008493749,0.9983214308039492,0.9972885348018508,0.221266605376783,0.00024908749110622914,0.00025255663569404154,1.9455123552982098e-05,6.224751815942357e-10,1.0930104825144646e-12,-0.0778533290628763,0.0,1.8243349931039407e-08
0.13999583640785979,0.0001000000082085279,9.973524081473784,0.9983259760460285,0.9972839931376316,0.2212666053758063,0.0002490852233610889,0.0002525543352157013,1.9454946359185515e-05,6.224696284839387e-10,1.0930143272693028e-12,2.493758068712511,2.571491392273062,2205598544304.9604,600000000000000.0,0.13999574682523191,0.00010000000820854107,9.973524081450527,0.9983256313800764,0.997284337573751,0.22126660537586376,0.0002490853951077632,0.0002525545096846279,1.945495979684294e-05,6.224700348560389e-10,1.093012494813371e-12,2.493761193398757,2.5714953955677506,2205598544304.9604,600000000000000.0,0.13998423735493687,0.0001000000082084819,9.973524081390503,0.998326481906002,0.9972834879733173,0.22126660537489848,0.0002490849712224594,0.00025255407938208505,1.945492665688855e-05,6.224689722837441e-10,1.0930100249578526e-12,2.4937621006270607,2.5714980552419537,2205598544304.9604,600000000000000.0,0.03589008707256521,0.00010000000820850383,9.973524081317127,0.9983266987486391,0.9972832714058315,0.22126660537384094,0.0002490848633925772,0.0002525539697016459,1.945491821205697e-05,6.224687020034771e-10,1.0930094648897655e-12,2.4937607195041127,2.571499359293444,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810174197,0.997283889289707,0.22126660537556536,0.0002490851704837443,0.0002525542827512483,1.9454942304644365e-05,6.2246938247482e-10,1.093000299819811e-12,0.07774145517149632,9.973524008493749,0.998321430753486,0.9972885350035626,0.221266605376783,0.00024908749125737,0.0002525566358472874,1.945512355494959e-05,6.224751816571864e-10,1.0930104826250004e-12,-0.07785272743525344,0.0,3.6486699862078814e-08
0.13999583640794264,0.0001000000082085279,9.97352408147482,0.9983259756026542,0.9972839926821958,0.22126660536827572,0.00024908522972757173,0.0002525543348714304,1.945494636735585e-05,6.224699945161289e-10,1.093056045179051e-12,2.493736392782052,2.5714684834110346,2205598544304.9604,600000000000000.0,0.13999574682531024,0.00010000000820854107,9.973524081451506,0.9983256309351085,0.9972843371176154,0.22126660536882306,0.0002490854010288367,0.0002525545093397092,1.945495980416991e-05,6.224703765878442e-10,1.0930514811585355e-12,2.4937394489899263,2.5714724421440276,2205598544304.9604,600000000000000.0,0.13998423735501386,0.0001000000082084819,9.973524081391465,0.9983264814602901,0.9972834875166872,0.2212666053679947,0.0002490849770194782,0.00025255407903675945,1.9454926663978133e-05,6.224693072612447e-10,1.0930482498287583e-12,2.4937403222044066,2.57147508213581,2205598544304.9604,600000000000000.0,0.03589008707257465,0.00010000000820850383,9.973524081317231,0.9983266983547614,0.9972832710019441,0.22126660536814663,0.00024908486869578474,0.000252553969396295,1.9454918218657474e-05,6.224690078547388e-10,1.0930444637281533e-12,2.493738962984567,2.5714764019400307,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810174093,0.997283889289696,0.2212666053755648,0.0002490851704840583,0.0002525542827512292,1.9454942304644514e-05,6.224693824778498e-10,1.093000300167498e-12,0.07774025203384484,9.973524008493749,0.9983214306526128,0.9972885354069864,0.221266605376783,0.00024908749155965176,0.0002525566361537791,1.9455123558884572e-05,6.224751817830878e-10,1.0930104828460721e-12,-0.07785152430644798,0.0,7.297339972415763e-08
0.13999583640813903,0.0001000000082085279,9.973524081477274,0.9983259747382468,0.9972839917689371,0.22126660534055798,0.00024908525479922324,0.00025255433418434615,1.9454946406876364e-05,6.224714018609008e-10,1.0932116865354082e-12,2.4936938844869676,2.571423564140047,2205598544304.9604,600000000000000.0,0.13999574682550364,0.00010000000820854107,9.973524081453924,0.99832563007022,0.9972843362056516,0.2212666053420235,0.00024908542521346656,0.000252554508653373,1.9454959842033285e-05,6.224717353468827e-10,1.0932018971721493e-12,2.493696934810235,2.571427519367545,2205598544304.9604,600000000000000.0,0.13998423735520632,0.0001000000082084819,9.97352408139387,0.9983264805952091,0.9972834866050232,0.2212666053414512,0.0002490850009581953,0.00025255407835058914,1.9454926701381756e-05,6.224706525613592e-10,1.0931972143888183e-12,2.4936978027743875,2.571430156231684,2205598544304.9604,600000000000000.0,0.03589008707259893,0.00010000000820850383,9.9735240813175,0.9983266975894545,0.9972832701947308,0.22126660534578024,0.0002490848902212553,0.000252553968788936,1.94549182523944e-05,6.224702167881458e-10,1.0931791585898113e-12,2.49369644205658,2.571431475144441,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810173702,0.9972838892896518,0.22126660537556025,0.00024908517048667997,0.00025255428275115647,1.9454942304645585e-05,6.224693825023859e-10,1.0930003029205716e-12,0.0777378461776125,9.973524008493749,0.9983214304510425,0.9972885362138338,0.221266605376783,0.00024908749216421514,0.00025255663676676245,1.9455123566754538e-05,6.224751820348908e-10,1.0930104832882157e-12,-0.07784911846790699,0.0,1.4594679944831526e-07
0.13999583640828528,0.0001000000082085279,9.973524081479102,0.998325973897827,0.9972839908554746,0.22126660530125042,0.00024908529193999975,0.000252554333500358,1.9454946469087607e-05,6.224734707123771e-10,1.0934348724625709e-12,2.4936523099368246,2.571379583741112,2205598544304.9604,600000000000000.0,0.13999574682565258,0.00010000000820854107,9.973524081455786,0.9983256292294402,0.9972843352936045,0.22126660530357817,0.0002490854614674804,0.0002525545079702209,1.9454959902588836e-05,6.224737555443085e-10,1.093420075122859e-12,2.4936553599176543,2.571383538764605,2205598544304.9604,600000000000000.0,0.1399842373553559,0.0001000000082084819,9.97352408139574,0.9983264797543392,0.9972834856933785,0.2212666053032467,0.0002490850369661475,0.00025255407766768066,1.9454926761478344e-05,6.224726592736385e-10,1.0934140006501395e-12,2.4936562274723735,2.571386175384841,2205598544304.9604,600000000000000.0,0.035890087072618974,0.00010000000820850383,9.973524081317722,0.9983266968456374,0.9972832693876093,0.22126660531276388,0.00024908492242209406,0.00025255396818450423,1.9454918306206146e-05,6.224720105192571e-10,1.0933746652493645e-12,2.4936548665172906,2.571387494157097,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810173135,0.9972838892895841,0.22126660537555068,0.0002490851704922725,0.0002525542827510484,1.945494230464772e-05,6.224693825543318e-10,1.0930003086603165e-12,0.07773544074037776,9.973524008493749,0.9983214302496481,0.9972885370206812,0.221266605376783,0.00024908749276877847,0.00025255663737974574,1.9455123574624504e-05,6.224751822866938e-10,1.0930104837303597e-12,-0.07784671304836292,0.0,2.1892019917247289e-07
0.13999583640830732,0.0001000000082085279,9.973524081479377,0.9983259730808983,0.9972839899418471,0.22126660525134895,0.0002490853408829242,0.0002525543328194721,1.9454946553487494e-05,6.224761874347288e-10,1.0937211714863789e-12,2.493611654719013,2.5713365234623446,2205598544304.9604,600000000000000.0,0.1399957468256826,0.00010000000820854107,9.97352408145616,0.998325628412165,0.9972843343814054,0.22126660525448655,0.00024908550952372775,0.00025255450729017747,1.9454959985333255e-05,6.224764235435694e-10,1.0937015734416198e-12,2.4936147046760495,2.5713404784716496,2205598544304.9604,600000000000000.0,0.13998423735538806,0.0001000000082084819,9.97352408139614,0.998326478936984,0.9972834847815929,0.22126660525438174,0.0002490850847759564,0.0002525540769878892,1.945492684376348e-05,6.224753137565479e-10,1.0936941637135763e-12,2.4936155721989275,2.5713431150729145,2205598544304.9604,600000000000000.0,0.03589008707262544,0.00010000000820850383,9.973524081317793,0.9983266961227468,0.9972832685804912,0.22126660526941638,0.00024908496506137565,0.00025255396758287556,1.945491837964749e-05,6.224743769010143e-10,1.0936272897084798e-12,2.493614211221383,2.5713444338325973,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810172397,0.9972838892894916,0.22126660537553447,0.0002490851705017914,0.0002525542827509044,1.945494230465121e-05,6.224693826424348e-10,1.0930003182592584e-12,0.07773303572206773,9.973524008493749,0.9983214300484298,0.9972885378275286,0.221266605376783,0.0002490874933733417,0.000252556637992729,1.945512358249447e-05,6.224751825384969e-10,1.0930104841725041e-12,-0.07784430804774282,0.0,2.918935988966305e-07
0.13999583640785465,0.0001000000082085279,9.97352408147372,0.9983259715003235,0.9972839881139698,0.2212666051295082,0.00024908546566194636,0.0002525543314647202,1.9454946772844663e-05,6.224830999936858e-10,1.094429051127669e-12,2.493532440151735,2.5712524998242996,2205598544304.9604,600000000000000.0,0.13999574682525742,0.00010000000820854107,9.973524081450845,0.9983256268309123,0.9972843325564,0.2212666051341526,0.00024908563252956845,0.0002525545059371146,1.9454960201379813e-05,6.22483238507748e-10,1.0944003096397117e-12,2.493535490114597,2.571256454837048,2205598544304.9604,600000000000000.0,0.1399842373549704,0.0001000000082084819,9.97352408139092,0.9983264773555784,0.9972834829574234,0.2212666051344702,0.0002490852072878528,0.0002525540756353372,1.9454927058890494e-05,6.224821016166517e-10,1.0943903541762014e-12,2.493536357642237,2.5712590914411435,2205598544304.9604,600000000000000.0,0.03589008707257859,0.00010000000820850383,9.973524081317274,0.998326694724602,0.9972832669662176,0.2212666051594336,0.00024908507412434866,0.00025255396638598944,1.9454918571259804e-05,6.224804168437024e-10,1.0942558307129288e-12,2.4935349966633082,2.5712604102015235,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810170546,0.9972838892892448,0.22126660537548182,0.00024908517053292515,0.00025255428275052974,1.9454942304662227e-05,6.224693829299229e-10,1.093000349012834e-12,0.07772822666841206,9.973524008493749,0.9983214296464061,0.9972885394412233,0.221266605376783,0.00024908749458246797,0.00025255663921869525,1.945512359823441e-05,6.22475183042103e-10,1.0930104850567947e-12,-0.07783949902946523,0.0,4.3784039834494577e-07
0.13999583640641866,0.0001000000082085279,9.97352408145577,0.9983259700012341,0.9972839862848646,0.22126660497602743,0.0002490856317068592,0.00025255433012067585,1.9454947069775702e-05,6.224922850890188e-10,1.0953354538920656e-12,2.49345644173127,2.5711716938526803,2205598544304.9604,600000000000000.0,0.13999574682386579,0.00010000000820854107,9.97352408143345,0.9983256253311656,0.9972843307301869,0.2212666049820122,0.00024908579680156415,0.00025255450459476375,1.9454960495000698e-05,6.224923257897312e-10,1.0952982570239547e-12,2.4934594916771693,2.571175648855296,2205598544304.9604,600000000000000.0,0.13998423735359114,0.0001000000082084819,9.97352408137368,0.9983264758556866,0.9972834811320574,0.22126660498270603,0.0002490853710640636,0.00025255407429350586,1.9454927351590227e-05,6.224911616856428e-10,1.0952859433154117e-12,2.493460359186533,2.571178285448498,2205598544304.9604,600000000000000.0,0.03589008707240813,0.00010000000820850383,9.97352408131539,0.9983266933995139,0.997283265351851,0.22126660501399742,0.00024908521968158344,0.00025255396519887344,1.9454918831507485e-05,6.224884649717674e-10,1.0950662324336457e-12,2.493458998196817,2.571179604203839,2205598544304.9604,600000000000000.0,9.973524079717524,0.9983260810168121,0.9972838892888969,0.22126660537539242,0.00024908517058613,0.0002525542827500171,1.9454942304680516e-05,6.224693834204242e-10,1.0930004004477599e-12,0.07772341915468614,9.973524008493749,0.9983214292450294,0.9972885410549179,0.221266605376783,0.00024908749579159403,0.00025255664044466125,1.9455123613974348e-05,6.224751835457094e-10,1.0930104859410894e-12,-0.0778346915511145,0.0,5.83787197793261e-07
