25.93569823,2.298181265
75.01873025,2.287188508
109.2869475,2.273726614
148.0373954,2.249226359
182.5922668,2.222267826
219.2188671,2.1977654
236.7308381,2.173243428
252.1710805,2.146265351
271.9371967,2.115610715
287.4556174,2.084951736
302.7655624,2.064108494
316.134076,2.034674311
333.5418092,2.015060208
375.7842275,2.026146346
422.4306981,2.029875023
469.2335255,2.026241897
507.5930812,2.02014615
541.78312,2.010365158
576.1034561,1.994449331
610.5280302,1.973625634
640.7830874,1.949116692
675.4421968,1.91725029
703.7037037,1.886604341
725.671846,1.852270975
749.9201928,1.810577978
