0.084693312,2.315332747
23.44701782,2.315356635
51.05703769,2.315384866
93.7164077,2.306839528
127.828268,2.300739438
164.1942734,2.288506683
200.7166357,2.268912125
230.9195739,2.246857118
254.8291475,2.221114694
276.6669924,2.192916164
305.0848562,2.154908412
326.9227011,2.126709882
344.5389101,2.097280042
362.0508811,2.07275807
381.8430568,2.040876467
402.6645819,2.060529659
440.6853643,2.070384486
519.1374312,2.076599672
584.9506499,2.07789396
646.5161732,2.079183904
706.0620867,2.075563808
761.3603049,2.071939368
810.339099,2.06585448
857.2722239,2.056086517
893.6382293,2.043853763
934.4864654,2.020582647
960.4938272,1.996069362
975.90801,1.970318251
989.3286426,1.938430133
1002.801394,1.904088081
1016.195967,1.87342693
1023.140819,1.846440166
1030.268087,1.810864632
