eps_S81,eps_Li2S1,rho_TEGDME(e)_cat1,rho_Li+(e)_cat1,rho_TFSI-(e)_cat1,rho_S8(e)_cat1,rho_Li2S8(e)_cat1,rho_Li2S6(e)_cat1,rho_Li2S4(e)_cat1,rho_Li2S3(e)_cat1,rho_Li2S2(e)_cat1,Phi_dl1,Phi_ed1,np_S81,np_Li2S1,eps_S82,eps_Li2S2,rho_TEGDME(e)_cat2,rho_Li+(e)_cat2,rho_TFSI-(e)_cat2,rho_S8(e)_cat2,rho_Li2S8(e)_cat2,rho_Li2S6(e)_cat2,rho_Li2S4(e)_cat2,rho_Li2S3(e)_cat2,rho_Li2S2(e)_cat2,Phi_dl2,Phi_ed2,np_S82,np_Li2S2,eps_S83,eps_Li2S3,rho_TEGDME(e)_cat3,rho_Li+(e)_cat3,rho_TFSI-(e)_cat3,rho_S8(e)_cat3,rho_Li2S8(e)_cat3,rho_Li2S6(e)_cat3,rho_Li2S4(e)_cat3,rho_Li2S3(e)_cat3,rho_Li2S2(e)_cat3,Phi_dl3,Phi_ed3,np_S83,np_Li2S3,eps_S84,eps_Li2S4,rho_TEGDME(e)_cat4,rho_Li+(e)_cat4,rho_TFSI-(e)_cat4,rho_S8(e)_cat4,rho_Li2S8(e)_cat4,rho_Li2S6(e)_cat4,rho_Li2S4(e)_cat4,rho_Li2S3(e)_cat4,rho_Li2S2(e)_cat4,Phi_dl4,Phi_ed4,np_S84,np_Li2S4,eps_S85,eps_Li2S5,rho_TEGDME(e)_cat5,rho_Li+(e)_cat5,rho_TFSI-(e)_cat5,rho_S8(e)_cat5,rho_Li2S8(e)_cat5,rho_Li2S6(e)_cat5,rho_Li2S4(e)_cat5,rho_Li2S3(e)_cat5,rho_Li2S2(e)_cat5,Phi_dl5,Phi_ed5,np_S85,np_Li2S5,rho_TEGDME(e)_sep1,rho_Li+(e)_sep1,rho_TFSI-(e)_sep1,rho_S8(e)_sep1,rho_Li2S8(e)_sep1,rho_Li2S6(e)_sep1,rho_Li2S4(e)_sep1,rho_Li2S3(e)_sep1,rho_Li2S2(e)_sep1,Phi_sep1,rho_TEGDME(e)_an1,rho_Li+(e)_an1,rho_TFSI-(e)_an1,rho_S8(e)_an1,rho_Li2S8(e)_an1,rho_Li2S6(e)_an1,rho_Li2S4(e)_an1,rho_Li2S3(e)_an1,rho_Li2S2(e)_an1,Phi_an_dl1,Phi_an1,Time
0.2415451016574934,9.999999999999874e-06,10.229988526754306,1.0239988515539,1.0239988515539,0.00020335142695087583,0.00018209979576949765,3.3139962832515897e-06,2.045997705350862e-08,2.0459977053508642e-10,5.348030431800678e-13,1.199999999999276,2.795833934869483,7535795026375.282,48170246681017.95,0.2415451016574934,9.999999999999875e-06,10.229988526754306,1.0239988515539,1.0239988515539,0.00020335142695087583,0.00018209979576949765,3.3139962832515897e-06,2.045997705350862e-08,2.0459977053508642e-10,5.348030431800678e-13,1.1999999999923499,2.79602943919418,7535795026375.282,48170246681017.95,0.2415451016574934,9.999999999999874e-06,10.229988526754306,1.0239988515539,1.0239988515539,0.00020335142695087583,0.00018209979576949765,3.3139962832515897e-06,2.045997705350862e-08,2.0459977053508642e-10,5.348030431800678e-13,1.1999999999963324,2.796224863075855,7535795026375.282,48170246681017.95,0.2415451016574934,9.999999999999874e-06,10.229988526754306,1.0239988515539178,1.0239988515539178,0.00020335142695033338,0.00018209979576949814,3.3139962832515986e-06,2.045997705350875e-08,2.0459977053508784e-10,5.348030431800499e-13,1.1999999999895878,2.7964203841855477,7535795026375.282,48170246681017.95,0.24154510165749216,9.999999999999874e-06,10.229988526765455,1.0239988517330012,1.0239988517330012,0.00020335133889847468,0.00018209979578141843,3.3139962834685347e-06,2.0459977055740722e-08,2.0459977055740753e-10,5.348030428840679e-13,1.199999999992913,2.7966158279054545,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450013,1.0240000024450013,0.00019430013765399875,0.000182099999981366,3.3139999996608835e-06,2.0459999996510872e-08,2.0459999996510854e-10,5.348000004626885e-13,1.5969666368978217,10.23,1.0241165965866998,1.02399999877376,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.5999994321692779,0.0,0.0
0.2415451016564457,9.999999999999874e-06,10.229988526739069,1.023998851544865,1.023998851544865,0.00020335143897249404,0.0001820997957692264,3.313996283246653e-06,2.0459977053478145e-08,2.0459977053478166e-10,5.348030431841092e-13,1.1999920973753917,2.7958264970454256,7535795026375.282,48170246681017.95,0.2415451016564457,9.999999999999875e-06,10.229988526739069,1.0239988515522345,1.0239988515522345,0.00020335143897249404,0.0001820997957692264,3.313996283246653e-06,2.0459977053478145e-08,2.0459977053478166e-10,5.348030431841107e-13,1.1999998524010438,2.7960260755980357,7535795026375.282,48170246681017.95,0.2415451016564457,9.999999999999874e-06,10.229988526739069,1.0239988515523697,1.0239988515523697,0.00020335143897249404,0.0001820997957692264,3.313996283246653e-06,2.0459977053478145e-08,2.0459977053478166e-10,5.348030431841107e-13,1.1999999947925588,2.7962216240587634,7535795026375.282,48170246681017.95,0.2415451016564457,9.999999999999874e-06,10.229988526739069,1.0239988515522678,1.0239988515522678,0.0002033514389719516,0.0001820997957692269,3.313996283246662e-06,2.0459977053478274e-08,2.0459977053478308e-10,5.348030431840928e-13,1.19999986877785,2.7964170304265283,7535795026375.282,48170246681017.95,0.24154510165644444,9.999999999999874e-06,10.229988526750217,1.0239988517248007,1.0239988517248007,0.00020335135091985898,0.00018209979578114722,3.313996283463599e-06,2.0459977055710252e-08,2.0459977055710281e-10,5.348030428881087e-13,1.1999929749705327,2.796608853958869,7535795026375.282,48170246681017.95,10.229999999982557,1.024000002445005,1.024000002445005,0.00019430013765436445,0.00018209999998136593,3.3139999996608827e-06,2.0459999996510862e-08,2.0459999996510843e-10,5.348000004626897e-13,1.5969666726735443,10.23,1.0241165966107701,1.0239999987839257,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.5999994679450735,0.0,1.362351239122625e-10
0.24154510165539797,9.999999999999874e-06,10.229988526723831,1.0239988515359677,1.0239988515359677,0.00020335145099411223,0.00018209979576895517,3.3139962832417166e-06,2.0459977053447668e-08,2.045997705344769e-10,5.348030431881492e-13,1.1999843395896845,2.7958191804689188,7535795026375.282,48170246681017.95,0.24154510165539797,9.999999999999875e-06,10.229988526723831,1.0239988515504364,1.0239988515504364,0.00020335145099411223,0.00018209979576895517,3.3139962832417166e-06,2.0459977053447668e-08,2.045997705344769e-10,5.348030431881536e-13,1.1999995652454272,2.796022713937152,7535795026375.282,48170246681017.95,0.24154510165539797,9.999999999999874e-06,10.229988526723831,1.02399885155083,1.02399885155083,0.00020335145099411223,0.00018209979576895517,3.3139962832417166e-06,2.0459977053447668e-08,2.045997705344769e-10,5.348030431881536e-13,1.1999999796585004,2.7962184064047837,7535795026375.282,48170246681017.95,0.24154510165539797,9.999999999999874e-06,10.229988526723831,1.0239988515504999,1.0239988515504999,0.00020335145099356977,0.00018209979576895566,3.3139962832417255e-06,2.0459977053447797e-08,2.045997705344783e-10,5.348030431881357e-13,1.199999613469703,2.7964136856255415,7535795026375.282,48170246681017.95,0.24154510165539672,9.999999999999874e-06,10.22998852673498,1.0239988517167224,1.0239988517167224,0.00020335136294124327,0.000182099795780876,3.3139962834586634e-06,2.0459977055679782e-08,2.045997705567981e-10,5.348030428921483e-13,1.1999860787009797,2.7966019934648694,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450089,1.0240000024450089,0.00019430013765473015,0.00018209999998136588,3.313999999660882e-06,2.0459999996510852e-08,2.0459999996510833e-10,5.348000004626909e-13,1.5969667084492194,10.23,1.0241165966348404,1.0239999987940913,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.5999995037208217,0.0,2.72470247824525e-10
0.24154510165330254,9.999999999999874e-06,10.229988526693354,1.0239988515184806,1.0239988515184806,0.0002033514750373486,0.00018209979576841266,3.313996283231844e-06,2.0459977053386715e-08,2.0459977053386736e-10,5.348030431962259e-13,1.1999691478029497,2.7958048531953708,7535795026375.282,48170246681017.95,0.24154510165330254,9.999999999999875e-06,10.229988526693354,1.0239988515465506,1.0239988515465506,0.0002033514750373486,0.00018209979576841266,3.313996283231844e-06,2.0459977053386715e-08,2.0459977053386736e-10,5.348030431962391e-13,1.199998686437894,2.7960159657991284,7535795026375.282,48170246681017.95,0.24154510165330254,9.999999999999874e-06,10.229988526693354,1.0239988515477163,1.0239988515477163,0.0002033514750373486,0.00018209979576841266,3.313996283231844e-06,2.0459977053386715e-08,2.0459977053386736e-10,5.348030431962394e-13,1.1999999131278338,2.796212085269993,7535795026375.282,48170246681017.95,0.24154510165330254,9.999999999999874e-06,10.229988526693354,1.0239988515467067,1.0239988515467067,0.00020335147503680614,0.00018209979576841315,3.313996283231853e-06,2.0459977053386844e-08,2.0459977053386878e-10,5.348030431962212e-13,1.1999988320056552,2.796406988949311,7535795026375.282,48170246681017.95,0.2415451016533013,9.999999999999874e-06,10.229988526704503,1.0239988517008394,1.0239988517008394,0.00020335138698401184,0.00018209979578033358,3.3139962834487916e-06,2.0459977055618842e-08,2.045997705561887e-10,5.348030429002244e-13,1.1999725739837985,2.7965885593619406,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450164,1.0240000024450164,0.00019430013765546155,0.00018209999998136577,3.31399999966088e-06,2.0459999996510832e-08,2.0459999996510815e-10,5.348000004626934e-13,1.5969667800004586,10.23,1.0241165966829808,1.0239999988144226,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.599999575272207,0.0,5.4494049564905e-10
0.24154510164911164,9.999999999999874e-06,10.229988526632402,1.0239988514850464,1.0239988514850464,0.00020335152312382125,0.00018209979576732768,3.3139962832120984e-06,2.045997705326481e-08,2.045997705326483e-10,5.348030432123622e-13,1.1999403848475474,2.7957777374703663,7535795026375.282,48170246681017.95,0.24154510164911164,9.999999999999875e-06,10.229988526632402,1.0239988515373681,1.0239988515373681,0.00020335152312382125,0.00018209979576732768,3.3139962832120984e-06,2.045997705326481e-08,2.045997705326483e-10,5.348030432124087e-13,1.1999954439390865,2.796002358567842,7535795026375.282,48170246681017.95,0.24154510164911164,9.999999999999874e-06,10.229988526632402,1.0239988515412466,1.0239988515412466,0.00020335152312382125,0.00018209979576732768,3.3139962832120984e-06,2.045997705326481e-08,2.045997705326483e-10,5.348030432124109e-13,1.1999995254575198,2.7961999923834053,7535795026375.282,48170246681017.95,0.24154510164911164,9.999999999999874e-06,10.229988526632402,1.0239988515378642,1.0239988515378642,0.00020335152312327877,0.00018209979576732816,3.3139962832121073e-06,2.0459977053264937e-08,2.0459977053264973e-10,5.34803043212391e-13,1.1999959473960404,2.79639357125422,7535795026375.282,48170246681017.95,0.2415451016491104,9.999999999999874e-06,10.22998852664355,1.0239988516704424,1.0239988516704424,0.00020335143506954883,0.00018209979577924872,3.3139962834290486e-06,2.0459977055496962e-08,2.0459977055496988e-10,5.348030429163615e-13,1.1999470051056111,2.7965631345219313,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450315,1.0240000024450315,0.00019430013765692439,0.00018209999998136558,3.3139999996608763e-06,2.0459999996510796e-08,2.0459999996510779e-10,5.348000004626983e-13,1.5969669231023498,10.23,1.0241165967792614,1.023999998855085,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.5999997183743901,0.0,1.0898809912981e-09
0.24154510164072984,9.999999999999874e-06,10.229988526510496,1.023998851422702,1.023998851422702,0.00020335161929676618,0.0001820997957651577,3.3139962831726072e-06,2.0459977053021e-08,2.045997705302102e-10,5.348030432445778e-13,1.1998876196755515,2.795728014725125,7535795026375.282,48170246681017.95,0.24154510164072984,9.999999999999875e-06,10.229988526510496,1.0239988515153364,1.0239988515153364,0.00020335161929676618,0.0001820997957651577,3.3139962831726072e-06,2.0459977053021e-08,2.045997705302102e-10,5.348030432447365e-13,1.1999851005047215,2.7959750936863803,7535795026375.282,48170246681017.95,0.24154510164072984,9.999999999999874e-06,10.229988526510496,1.0239988515267129,1.0239988515267129,0.00020335161929676618,0.0001820997957651577,3.3139962831726072e-06,2.0459977053021e-08,2.045997705302102e-10,5.348030432447514e-13,1.199997072288937,2.7961769045706832,7535795026375.282,48170246681017.95,0.24154510164072984,9.999999999999874e-06,10.229988526510496,1.0239988515168972,1.0239988515168972,0.00020335161929622368,0.0001820997957651582,3.313996283172616e-06,2.0459977053021128e-08,2.045997705302116e-10,5.348030432447205e-13,1.1999867243443203,2.79636689949794,7535795026375.282,48170246681017.95,0.2415451016407286,9.999999999999874e-06,10.229988526521646,1.0239988516136673,1.0239988516136673,0.00020335153124062245,0.000182099795777079,3.313996283389562e-06,2.04599770552532e-08,2.0459977055253225e-10,5.34803042948585e-13,1.199900096707628,2.7965165123246742,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450615,1.0240000024450615,0.00019430013765985008,0.00018209999998136517,3.313999999660869e-06,2.0459999996510723e-08,2.0459999996510704e-10,5.348000004627081e-13,1.5969672093039347,10.23,1.0241165969718216,1.02399999893641,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.6000000045765594,0.0,2.1797619825962e-09
0.24154510163234805,9.999999999999874e-06,10.22998852638859,1.0239988513657394,1.0239988513657394,0.00020335171546971063,0.00018209979576298772,3.313996283133116e-06,2.045997705277719e-08,2.0459977052777208e-10,5.348030432767201e-13,1.199840517775213,2.795683655528404,7535795026375.282,48170246681017.95,0.24154510163234805,9.999999999999875e-06,10.22998852638859,1.023998851489217,1.023998851489217,0.00020335171546971063,0.00018209979576298772,3.313996283133116e-06,2.045997705277719e-08,2.0459977052777208e-10,5.348030432770453e-13,1.1999704555972208,2.7959479170654933,7535795026375.282,48170246681017.95,0.24154510163234805,9.999999999999874e-06,10.22998852638859,1.0239988515097904,1.0239988515097904,0.00020335171546971063,0.00018209979576298772,3.313996283133116e-06,2.045997705277719e-08,2.0459977052777208e-10,5.348030432770861e-13,1.1999921052882703,2.7961548513871066,7535795026375.282,48170246681017.95,0.24154510163234805,9.999999999999874e-06,10.22998852638859,1.0239988514922485,1.0239988514922485,0.00020335171546916812,0.0001820997957629882,3.313996283133125e-06,2.0459977052777318e-08,2.045997705277735e-10,5.348030432770331e-13,1.1999736269374932,2.7963405421164635,7535795026375.282,48170246681017.95,0.2415451016323468,9.999999999999874e-06,10.229988526399742,1.023998851561669,1.023998851561669,0.0002033516274116956,0.00018209979577490926,3.3139962833500755e-06,2.0459977055009435e-08,2.0459977055009463e-10,5.348030429807433e-13,1.1998582146983219,2.796474916513153,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024450915,1.0240000024450915,0.0001943001376627758,0.00018209999998136477,3.313999999660862e-06,2.045999999651065e-08,2.045999999651063e-10,5.348000004627179e-13,1.5969674955025046,10.23,1.0241165971643806,1.0239999990177349,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.6000002907757138,0.0,3.2696429738942994e-09
0.24154510161558448,9.999999999999874e-06,10.22998852614478,1.0239988512627078,1.0239988512627078,0.00020335190781559806,0.00018209979575864774,3.313996283054134e-06,2.045997705228957e-08,2.0459977052289587e-10,5.348030433408163e-13,1.1997577776143515,2.7956057680618556,7535795026375.282,48170246681017.95,0.24154510161558448,9.999999999999875e-06,10.22998852614478,1.023998851430188,1.023998851430188,0.00020335190781559806,0.00018209979575864774,3.313996283054134e-06,2.045997705228957e-08,2.0459977052289587e-10,5.348030433415841e-13,1.1999340200506885,2.7958945430389646,7535795026375.282,48170246681017.95,0.24154510161558448,9.999999999999874e-06,10.22998852614478,1.023998851468517,1.023998851468517,0.00020335190781559806,0.00018209979575864774,3.313996283054134e-06,2.045997705228957e-08,2.0459977052289587e-10,5.348030433417181e-13,1.199974354170099,2.796111368807048,7535795026375.282,48170246681017.95,0.24154510161558448,9.999999999999874e-06,10.22998852614478,1.0239988514366603,1.0239988514366603,0.00020335190781505552,0.00018209979575864823,3.313996283054143e-06,2.0459977052289698e-08,2.045997705228973e-10,5.348030433415872e-13,1.19994081214119,2.7962890848976865,7535795026375.282,48170246681017.95,0.24154510161558324,9.999999999999874e-06,10.229988526155932,1.0239988514672882,1.0239988514672882,0.00020335181975384033,0.0001820997957705698,3.3139962832711023e-06,2.0459977054521908e-08,2.0459977054521938e-10,5.34803043044892e-13,1.1997845698709346,2.796401844072391,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024451514,1.0240000024451514,0.00019430013766862732,0.00018209999998136398,3.3139999996608475e-06,2.04599999965105e-08,2.0459999996510481e-10,5.348000004627376e-13,1.5969680678905538,10.23,1.0241165975494952,1.0239999991803845,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.6000008631649316,0.0,5.4494049564905e-09
0.24154510159882092,9.999999999999874e-06,10.22998852590097,1.023998851170671,1.023998851170671,0.00020335210016148353,0.00018209979575430776,3.313996282975152e-06,2.045997705180195e-08,2.0459977051801967e-10,5.348030434046848e-13,1.1996866074154056,2.7955387745474507,7535795026375.282,48170246681017.95,0.24154510159882092,9.999999999999875e-06,10.22998852590097,1.0239988513650833,1.0239988513650833,0.00020335210016148353,0.00018209979575430776,3.313996282975152e-06,2.045997705180195e-08,2.0459977051801967e-10,5.34803043406005e-13,1.1998911909414227,2.7958425531610676,7535795026375.282,48170246681017.95,0.24154510159882092,9.999999999999874e-06,10.22998852590097,1.0239988514184988,1.0239988514184988,0.00020335210016148353,0.00018209979575430776,3.313996282975152e-06,2.045997705180195e-08,2.0459977051801967e-10,5.348030434062819e-13,1.1999474009471007,2.796067783546951,7535795026375.282,48170246681017.95,0.24154510159882092,9.999999999999874e-06,10.22998852590097,1.0239988513752678,1.0239988513752678,0.00020335210016094097,0.00018209979575430825,3.313996282975161e-06,2.045997705180208e-08,2.045997705180211e-10,5.348030434060345e-13,1.1999018895333637,2.796239163102858,7535795026375.282,48170246681017.95,0.24154510159881967,9.999999999999874e-06,10.229988525912121,1.023998851382537,1.023998851382537,0.00020335201209598303,0.00018209979576623033,3.3139962831921292e-06,2.045997705403438e-08,2.0459977054034413e-10,5.348030431088375e-13,1.1997210585607458,2.7963389051368512,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024452114,1.0240000024452114,0.00019430013767447897,0.0001820999999813632,3.313999999660833e-06,2.0459999996510353e-08,2.0459999996510334e-10,5.348000004627573e-13,1.5969686402664816,10.23,1.0241165979346052,1.0239999993430342,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.6000014355420287,0.0,7.6291669390867e-09
0.24154510158205736,9.999999999999874e-06,10.22998852565716,1.02399885108575,1.02399885108575,0.00020335229250736706,0.00018209979574996778,3.31399628289617e-06,2.045997705131433e-08,2.0459977051314346e-10,5.348030434683519e-13,1.199622925413289,2.7954787710155795,7535795026375.282,48170246681017.95,0.24154510158205736,9.999999999999875e-06,10.22998852565716,1.0239988512968499,1.0239988512968499,0.00020335229250736706,0.00018209979574996778,3.31399628289617e-06,2.045997705131433e-08,2.0459977051314346e-10,5.348030434702951e-13,1.199845069429387,2.795791846068149,7535795026375.282,48170246681017.95,0.24154510158205736,9.999999999999874e-06,10.22998852565716,1.023998851361617,1.023998851361617,0.00020335229250736706,0.00018209979574996778,3.31399628289617e-06,2.045997705131433e-08,2.0459977051314346e-10,5.34803043470755e-13,1.1999132248164244,2.7960234002814475,7535795026375.282,48170246681017.95,0.24154510158205736,9.999999999999874e-06,10.22998852565716,1.0239988513106422,1.0239988513106422,0.00020335229250682447,0.00018209979574996827,3.313996282896179e-06,2.045997705131446e-08,2.0459977051314489e-10,5.348030434703621e-13,1.1998595644848755,2.7961904658394787,7535795026375.282,48170246681017.95,0.2415451015820561,9.999999999999874e-06,10.229988525668311,1.023998851303896,1.023998851303896,0.0002033522044381237,0.00018209979576189086,3.313996283113156e-06,2.0459977053546854e-08,2.045997705354689e-10,5.348030431726027e-13,1.1996639768048682,2.796282395743592,7535795026375.282,48170246681017.95,10.229999999982557,1.0240000024452713,1.0240000024452713,0.00019430013768033074,0.0001820999999813624,3.3139999996608187e-06,2.0459999996510204e-08,2.0459999996510187e-10,5.34800000462777e-13,1.5969692126302844,10.23,1.0241165983197102,1.0239999995056839,0.0001943000000000725,0.0001821,3.314e-06,2.0459999999999986e-08,2.0459999999999984e-10,5.348000000000021e-13,-1.6000020079069999,0.0,9.8089289216829e-09
